,card_name,card_type,release,usd_price,cmc,color_identity,rarity
28,Abundant Maw,Creature — Eldrazi Leech,2016-07-22,0.10,8.0,['B'],uncommon
29,Abyssal Gatekeeper,Creature — Horror,2014-12-05,0.86,2.0,['B'],common
30,Abyssal Gorestalker,Creature — Horror,2023-11-17,0.02,6.0,['B'],uncommon
31,Abyssal Harvester,Creature — Demon Warlock,2024-11-15,2.09,3.0,['B'],rare
32,Abyssal Horror,Creature — Horror,2001-04-11,0.28,6.0,['B'],rare
33,Abyssal Hunter,Creature — Human Assassin,1999-04-21,0.31,4.0,['B'],rare
34,Abyssal Nightstalker,Creature — Nightstalker,1998-06-24,0.42,4.0,['B'],uncommon
35,Abyssal Nocturnus,Creature — Horror,2006-02-03,0.68,3.0,['B'],rare
36,Abyssal Persecutor,Creature — Demon,2017-11-17,1.52,4.0,['B'],rare
37,Abyssal Specter,Creature — Specter,2017-03-17,0.13,4.0,['B'],uncommon
38,Abzan Battle Priest,Creature — Human Cleric,2023-04-21,0.11,4.0,['W'],uncommon
39,Abzan Beastmaster,Creature — Dog Shaman,2015-01-23,0.16,3.0,['G'],uncommon
40,Abzan Falconer,Creature — Human Soldier,2023-04-21,0.14,3.0,['W'],uncommon
41,Abzan Guide,Creature — Human Warrior,2014-09-26,0.02,6.0,"['B', 'G', 'W']",common
42,Abzan Kin-Guard,Creature — Human Warrior,2015-01-23,0.03,4.0,['G'],uncommon
43,Abzan Skycaptain,Creature — Bird Soldier,2015-01-23,0.03,4.0,['W'],common
44,Academy Drake,Creature — Drake,2018-04-27,0.05,3.0,['U'],common
45,Academy Elite,Creature — Human Wizard,2016-11-11,0.12,4.0,['U'],rare
46,Academy Journeymage,Creature — Human Wizard,2018-04-27,0.02,5.0,['U'],common
47,Academy Loremaster,Creature — Human Wizard,2022-09-09,0.11,2.0,['U'],rare
48,Academy Manufactor,Artifact Creature — Assembly-Worker,2024-04-19,2.80,3.0,[],rare
49,Academy Raider,Creature — Human Warrior,2013-07-19,0.02,3.0,['R'],common
50,Academy Rector,Creature — Human Cleric,1999-06-07,51.12,4.0,['W'],rare
51,Academy Researchers,Creature — Human Wizard,2007-07-13,0.13,3.0,['U'],uncommon
52,Academy Wall,Creature — Wall,2022-09-09,0.02,3.0,['U'],common
53,Acclaimed Contender,Creature — Human Knight,2023-04-21,0.15,3.0,['W'],rare
54,Accomplished Alchemist,Creature — Elf Druid,2021-04-23,0.25,4.0,['G'],rare
55,Accomplished Automaton,Artifact Creature — Construct,2020-08-07,0.05,7.0,[],common
56,Accorder Paladin,Creature — Human Knight,2011-02-04,0.15,2.0,['W'],uncommon
57,Accursed Centaur,Creature — Zombie Centaur,2002-10-07,0.12,1.0,['B'],common
58,Accursed Horde,Creature — Zombie,2019-11-15,0.14,4.0,['B'],uncommon
59,Accursed Marauder,Creature — Zombie Warrior,2024-06-14,0.20,2.0,['B'],common
60,Accursed Spirit,Creature — Spirit,2014-07-18,0.02,4.0,['B'],common
61,Accursed Witch // Infectious Curse,Creature — Human Shaman // Enchantment — Aura Curse,2016-04-08,0.24,4.0,['B'],uncommon
62,"Ace, Fearless Rebel",Legendary Creature — Human Rebel,2023-10-13,0.05,4.0,['G'],rare
63,Acererak the Archlich,Legendary Creature — Zombie Wizard,2021-07-23,3.08,3.0,['B'],mythic
64,Achilles Davenport,Legendary Creature — Human Assassin,2024-07-05,4.58,4.0,"['B', 'U']",rare
65,Acidic Slime,Creature — Ooze,2023-08-04,0.10,5.0,['G'],uncommon
66,Acidic Sliver,Creature — Sliver,1998-03-02,0.58,2.0,"['B', 'R']",uncommon
67,Acid-Spewer Dragon,Creature — Dragon,2015-03-27,0.18,6.0,['B'],uncommon
68,Acid Web Spider,Creature — Spider,2010-10-01,0.20,5.0,['G'],uncommon
69,"Aclazotz, Deepest Betrayal // Temple of the Dead",Legendary Creature — Bat God // Land,2023-11-17,10.71,5.0,['B'],mythic
70,Acolyte Hybrid,Creature — Tyranid Human,2022-10-07,0.07,3.0,['R'],uncommon
71,Acolyte of Aclazotz,Creature — Vampire Cleric,2023-11-17,0.03,3.0,['B'],common
72,Acolyte of Affliction,Creature — Human Cleric,2020-01-24,0.07,4.0,"['B', 'G']",uncommon
73,Acolyte of the Inferno,Creature — Human Monk,2015-07-17,0.11,3.0,['R'],uncommon
74,Acolyte of Xathrid,Creature — Human Cleric,2009-07-17,0.08,1.0,['B'],common
75,"Acornelia, Fashionable Filcher",Legendary Creature — Squirrel,2020-02-29,0.36,4.0,"['B', 'G']",rare
76,Acquisition Octopus,Artifact Creature — Equipment Octopus,2022-02-18,0.06,3.0,['U'],uncommon
77,Acquisitions Expert,Creature — Human Rogue,2020-09-25,0.03,2.0,['B'],uncommon
78,Acridian,Creature — Insect,1998-10-12,0.12,2.0,['G'],common
79,Acrobatic Cheerleader,Creature — Human Survivor,2024-09-27,0.03,2.0,['W'],common
80,Activated Sleeper,Creature — Phyrexian Shapeshifter,2022-09-09,0.86,3.0,['B'],rare
81,"Adamaro, First to Desire",Legendary Creature — Spirit,2005-06-03,0.70,3.0,['R'],rare
82,Adanto Vanguard,Creature — Vampire Soldier,2017-09-29,0.11,2.0,['W'],uncommon
83,Adaptive Automaton,Artifact Creature — Construct,2024-11-15,,3.0,[],rare
84,Adaptive Gemguard,Artifact Creature — Gnome,2023-11-17,0.01,4.0,['W'],common
85,Adaptive Shimmerer,Creature — Insect,2020-04-24,0.02,5.0,[],common
86,Adaptive Snapjaw,Creature — Lizard Beast,2013-02-01,0.03,5.0,['G'],common
87,Adaptive Sporesinger,Creature — Phyrexian Druid,2023-02-03,0.05,3.0,['G'],common
88,Adarkar Sentinel,Artifact Creature — Soldier,1995-06-03,0.16,5.0,[],uncommon
89,Adarkar Unicorn,Creature — Unicorn,1995-06-03,0.12,3.0,"['U', 'W']",common
90,Adarkar Valkyrie,Snow Creature — Angel,2018-08-09,1.10,6.0,['W'],rare
91,Adarkar Windform,Snow Creature — Illusion,2006-07-21,0.19,5.0,['U'],uncommon
92,Adder-Staff Boggart,Creature — Goblin Warrior,2007-10-12,0.11,2.0,['R'],common
93,"Adeline, Resplendent Cathar",Legendary Creature — Human Knight,2023-04-21,6.05,3.0,['W'],rare
94,"Adeliz, the Cinder Wind",Legendary Creature — Human Wizard,2018-04-27,0.12,3.0,"['R', 'U']",uncommon
95,"Adéwalé, Breaker of Chains",Legendary Creature — Human Assassin Pirate,2024-07-05,0.08,3.0,"['B', 'U']",uncommon
96,Adherent of Hope,Creature — Human Soldier,2020-07-03,0.14,2.0,['W'],common
97,Adipose Offspring,Creature — Alien,2023-10-13,0.13,4.0,['W'],rare
98,Admiral Beckett Brass,Legendary Creature — Human Pirate,2023-11-17,0.18,4.0,"['B', 'R', 'U']",mythic
99,"Admiral Brass, Unsinkable",Legendary Creature — Human Pirate,2023-11-17,0.25,5.0,"['B', 'R', 'U']",mythic
100,Admonition Angel,Creature — Angel,2020-09-25,0.80,6.0,['W'],mythic
101,Adorable Kitten,Host Creature — Cat,2020-02-29,0.17,1.0,['W'],common
102,Adorned Pouncer,Creature — Cat,2017-07-14,0.39,2.0,['W'],rare
103,"Adriana, Captain of the Guard",Legendary Creature — Human Knight,2022-09-09,0.13,5.0,"['R', 'W']",rare
104,"Adric, Mathematical Genius",Legendary Creature — Human Artificer,2023-10-13,0.12,2.0,['U'],rare
105,"Adrix and Nev, Twincasters",Legendary Creature — Merfolk Wizard,2024-02-09,3.47,4.0,"['G', 'U']",mythic
106,Adult Gold Dragon,Creature — Dragon,2021-07-23,0.26,5.0,"['R', 'W']",rare
107,Adun Oakenshield,Legendary Creature — Human Knight,1994-06-01,83.33,3.0,"['B', 'G', 'R']",rare
108,Advanced Hoverguard,Creature — Drone,2004-06-04,0.03,4.0,['U'],common
109,Advanced Stitchwing,Creature — Zombie Horror,2022-07-08,0.03,5.0,['U'],common
110,Advance Scout,Creature — Human Soldier Scout,1997-10-14,0.13,2.0,['W'],common
111,Advocate of the Beast,Creature — Elf Shaman,2013-07-19,0.09,3.0,['G'],common
112,"Aegar, the Freezing Flame",Legendary Creature — Giant Wizard,2021-02-05,0.02,3.0,"['R', 'U']",uncommon
113,Aegis Angel,Creature — Angel,2017-06-16,0.48,6.0,['W'],rare
114,Aegis Automaton,Artifact Creature — Construct,2017-01-20,0.03,2.0,['W'],common
115,Aegis of the Gods,Enchantment Creature — Human Soldier,2014-05-02,1.04,2.0,['W'],rare
116,Aegis Turtle,Creature — Turtle,2024-11-15,0.19,1.0,['U'],common
117,Aeon Chronicler,Creature — Avatar,2021-03-19,0.21,5.0,['U'],rare
118,Aerathi Berserker,Creature — Human Berserker,1994-06-01,3.69,5.0,['R'],uncommon
119,Aerial Caravan,Creature — Human Soldier,1999-10-04,0.55,6.0,['U'],rare
120,Aerial Engineer,Creature — Human Artificer,2018-07-13,0.08,4.0,"['U', 'W']",uncommon
121,Aerialephant,Creature — Elephant Performer,2022-10-07,0.02,4.0,['W'],common
122,Aerial Extortionist,Creature — Bird Soldier,2024-02-09,0.47,5.0,['W'],rare
123,Aerial Guide,Creature — Drake,2017-07-14,0.02,3.0,['U'],common
124,Aerial Responder,Creature — Dwarf Soldier,2020-04-17,0.11,3.0,['W'],uncommon
125,Aerial Toastmaster,Artifact Creature — Cyborg Rigger,2017-12-08,0.12,4.0,['W'],uncommon
126,Aerie Auxiliary,Creature — Bird Soldier,2024-06-14,0.01,4.0,['W'],common
127,Aerie Bowmasters,Creature — Dog Archer,2015-03-27,0.04,4.0,['G'],common
128,Aerie Mystics,Creature — Bird Wizard,2017-06-09,0.12,5.0,"['G', 'U', 'W']",uncommon
129,Aerie Ouphes,Creature — Ouphe,2008-07-25,0.16,5.0,['G'],common
130,Aerie Worshippers,Creature — Human Cleric,2014-02-07,0.03,4.0,['U'],uncommon
131,Aeromoeba,Creature — Elemental Beast,2021-06-18,0.02,4.0,['U'],common
132,Aeromunculus,Creature — Homunculus Mutant,2019-01-25,0.02,3.0,"['G', 'U']",common
133,Aeronaut Admiral,Creature — Human Pilot,2022-02-18,0.08,4.0,['W'],uncommon
134,Aeronaut Cavalry,Creature — Human Soldier,2022-11-18,0.03,5.0,['W'],common
135,Aeronaut Tinkerer,Creature — Human Artificer,2014-07-18,0.03,3.0,['U'],common
136,"Aesi, Tyrant of Gyre Strait",Legendary Creature — Serpent,2024-09-27,7.10,6.0,"['G', 'U']",mythic
137,Aesthir Glider,Artifact Creature — Bird Construct,2018-04-27,0.02,3.0,[],common
138,Aether Adept,Creature — Human Wizard,2014-03-14,0.14,3.0,['U'],common
139,Aetherblade Agent // Gitaxian Mindstinger,Creature — Human Rogue // Creature — Phyrexian Rogue,2023-04-21,0.04,2.0,"['B', 'U']",common
140,Aetherborn Marauder,Creature — Aetherborn Rogue,2024-04-19,0.06,4.0,['B'],uncommon
141,Aether Channeler,Creature — Human Wizard,2022-09-09,0.21,3.0,['U'],rare
142,Aether Chaser,Creature — Human Artificer,2017-01-20,0.05,2.0,['R'],common
143,Aether Figment,Creature — Illusion,2014-03-14,0.10,2.0,['U'],uncommon
144,Aetherflame Wall,Creature — Wall,2006-10-06,0.12,2.0,['R'],common
145,Aethergeode Miner,Creature — Dwarf Scout,2017-01-20,0.22,2.0,['W'],rare
146,Aether Herder,Creature — Elf Artificer Druid,2017-01-20,0.03,4.0,['G'],common
147,Aether Inspector,Creature — Dwarf Artificer,2017-01-20,0.02,4.0,['W'],common
148,Aetherling,Creature — Shapeshifter,2013-05-03,0.37,6.0,['U'],rare
149,Aether Membrane,Creature — Wall,2012-03-30,0.38,3.0,['R'],uncommon
150,Aetherplasm,Creature — Illusion,2024-01-12,0.05,4.0,['U'],uncommon
151,Aether Poisoner,Creature — Human Artificer,2017-01-20,0.03,2.0,['B'],common
152,Aether Searcher,Artifact Creature — Construct,2014-06-06,0.21,7.0,[],rare
153,Aethershield Artificer,Creature — Dwarf Artificer,2018-07-13,0.09,4.0,['W'],uncommon
154,Aethersnipe,Creature — Elemental,2022-07-08,0.02,6.0,['U'],common
155,Aethersquall Ancient,Creature — Leviathan,2016-09-30,0.17,7.0,['U'],rare
156,Aetherstorm Roc,Creature — Bird,2016-09-30,0.22,4.0,['W'],rare
157,Aetherstream Leopard,Creature — Cat,2017-01-20,0.04,3.0,['G'],common
158,Aether Swooper,Creature — Vedalken Artificer,2017-01-20,0.06,2.0,['U'],common
159,Aether Theorist,Creature — Vedalken Rogue,2016-09-30,0.04,2.0,['U'],common
160,Aethertide Whale,Creature — Whale,2017-01-20,0.22,6.0,['U'],rare
161,Aethertorch Renegade,Creature — Human Rogue,2016-09-30,0.11,3.0,['R'],uncommon
162,Aetherwind Basker,Creature — Lizard,2017-01-20,0.60,7.0,['G'],mythic
163,"Aeve, Progenitor Ooze",Legendary Creature — Ooze,2021-06-18,0.21,5.0,['G'],rare
164,Affa Guard Hound,Creature — Dog,2020-07-17,0.05,3.0,['W'],uncommon
165,Affa Protector,Creature — Human Soldier Ally,2016-01-22,0.04,3.0,['W'],common
166,Affectionate Indrik,Creature — Beast,2024-11-15,0.14,6.0,['G'],uncommon
167,Afflicted Deserter // Werewolf Ransacker,Creature — Human Werewolf // Creature — Werewolf,2012-02-03,0.18,4.0,['R'],uncommon
168,Aftermath Analyst,Creature — Elf Detective,2024-02-09,2.87,2.0,['G'],uncommon
169,Agadeem Occultist,Creature — Human Shaman Ally,2010-02-05,0.30,3.0,['B'],rare
170,Agate-Blade Assassin,Creature — Lizard Assassin,2024-08-02,0.06,2.0,['B'],common
171,Agate Instigator,Creature — Lizard Rogue,2024-08-02,16.40,2.0,['R'],rare
172,Agatha of the Vile Cauldron,Legendary Creature — Human Warlock,2023-09-08,0.57,2.0,"['G', 'R']",mythic
173,Agatha's Champion,Creature — Human Knight,2023-09-08,0.02,5.0,['G'],uncommon
174,Ageless Entity,Creature — Elemental,2021-04-23,0.14,5.0,['G'],rare
175,Ageless Guardian,Creature — Spirit Soldier,2021-04-23,0.01,2.0,['W'],common
176,Ageless Sentinels,Creature — Wall,2003-05-26,0.35,4.0,['W'],rare
177,Agency Coroner,Creature — Ogre Cleric,2024-02-09,0.03,5.0,['B'],common
178,Agency Outfitter,Creature — Sphinx Detective,2024-02-09,0.02,6.0,['U'],uncommon
179,Agent Frank Horrigan,Legendary Creature — Mutant Warrior,2024-03-08,2.24,7.0,"['B', 'G']",rare
180,Agent of Acquisitions,Artifact Creature — Construct,2014-06-06,0.18,2.0,[],uncommon
181,Agent of Erebos,Enchantment Creature — Zombie,2014-05-02,0.30,4.0,['B'],uncommon
182,Agent of Horizons,Creature — Human Rogue,2013-09-27,0.05,3.0,"['G', 'U']",common
183,Agent of Masks,Creature — Human Advisor,2017-03-17,0.14,5.0,"['B', 'W']",uncommon
184,Agent of Shauku,Creature — Human Mercenary,2000-06-05,0.05,2.0,['B'],common
185,Agent of Stromgald,Creature — Human Knight,1996-06-10,0.20,1.0,"['B', 'R']",common
186,Agent of the Fates,Creature — Human Assassin,2013-09-27,0.30,3.0,['B'],rare
187,Agent of Treachery,Creature — Human Rogue,2019-07-12,5.26,7.0,['U'],rare
188,Aggressive Mammoth,Creature — Elephant,2024-11-15,11.11,6.0,['G'],rare
189,Agitator Ant,Creature — Insect,2024-02-09,0.11,3.0,['R'],rare
190,"Agrus Kos, Eternal Soldier",Legendary Creature — Spirit Soldier,2022-12-02,0.47,4.0,"['R', 'W']",rare
191,"Agrus Kos, Spirit of Justice",Legendary Creature — Spirit Detective,2024-02-09,0.27,4.0,"['R', 'W']",mythic
192,"Agrus Kos, Wojek Veteran",Legendary Creature — Human Soldier,2005-10-07,0.29,5.0,"['R', 'W']",rare
193,Ahn-Crop Champion,Creature — Human Warrior,2017-04-28,0.04,4.0,"['G', 'W']",uncommon
194,Ahn-Crop Crasher,Creature — Minotaur Warrior,2017-04-28,0.05,3.0,['R'],uncommon
195,Ahn-Crop Invader,Creature — Zombie Minotaur Warrior,2019-05-03,0.03,3.0,['R'],common
196,Ainok Artillerist,Creature — Dog Archer,2015-03-27,0.03,3.0,['G'],common
197,Ainok Bond-Kin,Creature — Dog Soldier,2023-08-04,0.07,2.0,['W'],common
198,Ainok Guide,Creature — Dog Scout,2015-01-23,0.04,2.0,['G'],common
199,Ainok Survivalist,Creature — Dog Shaman,2024-02-09,0.06,2.0,['G'],uncommon
200,Ainok Tracker,Creature — Dog Scout,2014-09-26,0.01,6.0,['R'],common
201,Air-Cult Elemental,Creature — Elemental,2021-07-23,0.03,6.0,['U'],common
202,Airdrop Aeronauts,Creature — Dwarf Scout,2017-01-20,0.04,5.0,['W'],uncommon
203,Airdrop Condor,Creature — Bird,2002-10-07,0.17,5.0,['R'],uncommon
204,Air Elemental,Creature — Elemental,2019-07-12,0.06,5.0,['U'],uncommon
205,Airlift Chaplain,Creature — Human Cleric,2022-11-18,0.04,3.0,['W'],common
206,Air Marshal,Creature — Human Soldier,2022-11-18,0.02,2.0,['U'],common
207,Air Servant,Creature — Elemental,2016-04-08,0.02,5.0,['U'],uncommon
208,Aisha of Sparks and Smoke,Legendary Creature — Human Warrior,2023-02-10,0.59,3.0,"['R', 'W']",rare
209,Aisling Leprechaun,Creature — Faerie,1994-06-01,0.46,1.0,['G'],common
210,"Ajani, Nacatl Pariah // Ajani, Nacatl Avenger",Legendary Creature — Cat Warrior // Legendary Planeswalker — Ajani,2024-06-14,12.39,2.0,"['R', 'W']",mythic
211,Ajani's Chosen,Creature — Cat Soldier,2020-07-17,0.31,4.0,['W'],rare
212,Ajani's Comrade,Creature — Elf Soldier,2017-01-20,0.14,2.0,['G'],uncommon
213,Ajani's Pridemate,Creature — Cat Soldier,2024-11-15,0.44,2.0,['W'],uncommon
214,Ajani's Sunstriker,Creature — Cat Cleric,2014-06-06,0.17,2.0,['W'],common
215,"Akal Pakal, First Among Equals",Legendary Creature — Human Advisor,2023-11-17,0.12,3.0,['U'],rare
216,"Akawalli, the Seething Tower",Legendary Creature — Fungus,2023-11-17,0.05,3.0,"['B', 'G']",uncommon
217,"Akim, the Soaring Wind",Legendary Creature — Bird Dinosaur,2020-04-17,0.41,5.0,"['R', 'U', 'W']",mythic
218,"Akiri, Fearless Voyager",Legendary Creature — Kor Warrior,2023-08-04,0.42,3.0,"['R', 'W']",uncommon
219,"Akiri, Line-Slinger",Legendary Creature — Kor Soldier Ally,2016-11-11,,2.0,"['R', 'W']",rare
220,Akki Avalanchers,Creature — Goblin Warrior,2004-10-01,0.10,1.0,['R'],common
221,Akki Battle Squad,Creature — Goblin Samurai,2022-02-18,1.00,6.0,['R'],rare
222,Akki Blizzard-Herder,Creature — Goblin Shaman,2005-02-04,0.20,2.0,['R'],common
223,Akki Coalflinger,Creature — Goblin Shaman,2014-12-05,0.39,3.0,['R'],uncommon
224,Akki Drillmaster,Creature — Goblin Shaman,2005-06-03,0.12,3.0,['R'],common
225,Akki Ember-Keeper,Enchantment Creature — Goblin Warrior,2022-02-18,0.02,2.0,['R'],common
226,"Akki Lavarunner // Tok-Tok, Volcano Born",Creature — Goblin Warrior // Legendary Creature — Goblin Shaman,2004-10-01,0.39,4.0,['R'],rare
227,Akki Raider,Creature — Goblin Warrior,2005-02-04,0.22,2.0,['R'],uncommon
228,Akki Rockspeaker,Creature — Goblin Shaman,2004-10-01,0.11,2.0,['R'],common
229,Akki Ronin,Creature — Goblin Samurai,2022-02-18,0.02,2.0,['R'],common
230,Akki Scrapchomper,Creature — Phyrexian Goblin,2023-04-21,0.03,1.0,['R'],common
231,Akki Underling,Creature — Goblin Warrior,2005-06-03,0.06,2.0,['R'],common
232,Akki Underminer,Creature — Goblin Rogue Shaman,2004-10-01,0.15,4.0,['R'],uncommon
233,Akoum Battlesinger,Creature — Human Berserker Ally,2010-02-05,0.12,2.0,['R'],common
234,Akoum Boulderfoot,Creature — Giant Warrior,2010-04-23,0.08,6.0,['R'],uncommon
235,Akoum Firebird,Creature — Phoenix,2015-10-02,0.26,4.0,['R'],mythic
236,Akoum Flameseeker,Creature — Human Shaman Ally,2016-01-22,0.02,3.0,['R'],common
237,Akoum Hellhound,Creature — Elemental Dog,2020-09-25,0.05,1.0,['R'],common
238,Akoum Hellkite,Creature — Dragon,2019-11-15,0.35,6.0,['R'],rare
239,Akoum Stonewaker,Creature — Human Shaman,2015-10-02,0.08,2.0,['R'],uncommon
240,Akoum Warrior // Akoum Teeth,Creature — Minotaur Warrior // Land,2020-09-25,0.07,6.0,['R'],uncommon
241,Akrasan Squire,Creature — Human Soldier,2008-10-03,0.16,1.0,['W'],common
242,Akroan Conscriptor,Creature — Human Shaman,2014-02-07,0.10,5.0,['R'],uncommon
243,Akroan Crusader,Creature — Human Soldier,2018-12-07,0.10,1.0,['R'],common
244,Akroan Hoplite,Creature — Human Soldier,2016-08-26,0.11,2.0,"['R', 'W']",uncommon
245,Akroan Horse,Artifact Creature — Horse,2016-11-11,0.34,4.0,[],rare
246,Akroan Jailer,Creature — Human Soldier,2015-07-17,0.06,1.0,['W'],common
247,Akroan Line Breaker,Creature — Human Warrior,2014-05-02,0.03,3.0,['R'],uncommon
248,Akroan Mastiff,Creature — Dog,2014-05-02,0.07,4.0,['W'],common
249,Akroan Phalanx,Creature — Human Soldier,2014-02-07,0.06,4.0,"['R', 'W']",uncommon
250,Akroan Sergeant,Creature — Human Soldier,2015-07-17,0.04,3.0,['R'],common
251,Akroan Skyguard,Creature — Human Soldier,2014-02-07,0.10,2.0,['W'],common
252,"Akroma, Angel of Fury",Legendary Creature — Angel,2024-02-09,0.22,8.0,['R'],mythic
253,"Akroma, Angel of Wrath",Legendary Creature — Angel,2020-04-17,3.59,8.0,['W'],mythic
254,Akroma's Devoted,Creature — Human Cleric,2003-02-03,0.21,4.0,['W'],uncommon
255,"Akroma, Vision of Ixidor",Legendary Creature — Angel,2020-11-20,6.28,7.0,['W'],mythic
256,Akron Legionnaire,Creature — Giant Soldier,1997-03-24,0.26,8.0,['W'],rare
257,Aku Djinn,Creature — Djinn,1997-02-03,1.46,5.0,['B'],rare
258,Akul the Unrepentant,Legendary Creature — Scorpion Dragon Rogue,2024-04-19,0.15,4.0,"['B', 'R']",rare
259,"Akuta, Born of Ash",Legendary Creature — Spirit,2005-06-03,0.32,4.0,['B'],rare
260,Alabaster Dragon,Creature — Dragon,1997-06-09,0.84,6.0,['W'],rare
261,Alabaster Host Intercessor,Creature — Phyrexian Samurai,2023-04-21,0.03,6.0,['W'],common
262,Alabaster Host Sanctifier,Creature — Phyrexian Cleric,2023-04-21,0.02,2.0,['W'],common
263,Alabaster Kirin,Creature — Kirin,2014-09-26,0.05,4.0,['W'],common
264,Alabaster Leech,Creature — Leech,2000-10-02,0.35,1.0,['W'],rare
265,Alabaster Mage,Creature — Human Wizard,2020-08-07,0.03,2.0,['W'],common
266,Alabaster Wall,Creature — Wall,1999-10-04,0.29,3.0,['W'],common
267,Alaborn Cavalier,Creature — Human Knight,2011-04-01,0.17,4.0,['W'],uncommon
268,Alaborn Grenadier,Creature — Human Soldier,1998-06-24,0.30,2.0,['W'],common
269,Alaborn Musketeer,Creature — Human Soldier,1998-06-24,0.25,2.0,['W'],common
270,Alaborn Trooper,Creature — Human Soldier,1998-06-24,0.17,3.0,['W'],common
271,Alaborn Veteran,Creature — Human Knight,1998-06-24,1.72,3.0,['W'],rare
272,Alaborn Zealot,Creature — Human Soldier,1998-06-24,2.09,1.0,['W'],uncommon
273,Aladdin,Creature — Human Rogue,1995-07-01,0.43,4.0,['R'],uncommon
274,"Alandra, Sky Dreamer",Legendary Creature — Merfolk Wizard,2024-02-09,0.86,4.0,['U'],rare
275,"Alania, Divergent Storm",Legendary Creature — Otter Wizard,2024-08-02,0.09,5.0,"['R', 'U']",rare
276,Alania's Pathmaker,Creature — Otter Wizard,2024-08-02,0.03,4.0,['R'],common
277,Alaundo the Seer,Legendary Creature — Human Shaman,2022-06-10,0.10,4.0,"['G', 'U']",rare
278,Albino Troll,Creature — Troll,2014-12-05,0.10,2.0,['G'],uncommon
279,Alchemist's Apprentice,Creature — Human Wizard,2012-05-04,0.07,2.0,['U'],common
280,"Alela, Artful Provocateur",Legendary Creature — Faerie Warlock,2022-04-29,0.58,4.0,"['B', 'U', 'W']",mythic
281,"Alela, Cunning Conqueror",Legendary Creature — Faerie Warlock,2023-09-08,0.52,4.0,"['B', 'U']",mythic
282,"Alena, Kessig Trapper",Legendary Creature — Human Scout,2020-11-20,0.11,5.0,['R'],uncommon
283,Alert Heedbonder,Creature — Human Scout,2020-04-24,0.07,3.0,"['G', 'W']",uncommon
284,Alert Shu Infantry,Creature — Human Soldier,1999-05-01,7.65,3.0,['W'],uncommon
285,Alesha's Vanguard,Creature — Orc Warrior,2015-01-23,0.02,4.0,['B'],common
286,"Alesha, Who Laughs at Fate",Legendary Creature — Human Warrior,2024-11-15,3.45,3.0,"['B', 'R']",rare
287,"Alesha, Who Smiles at Death",Legendary Creature — Human Warrior,2022-09-09,0.09,3.0,"['B', 'R', 'W']",rare
